country,population,2012,2013,2014,2015,2016,2017,2018,2019,HDI
Afghanistan,32225560,1,0,1,0,2,0,0,0,0
Albania,2845955,1,2,0,1,2,2,1,5,2
Algeria,43000000,12,16,13,11,8,9,5,8,2
Andorra,77543,0,0,1,0,4,0,3,0,3
Argentina,44938712,7,10,6,3,13,20,16,12,3
Armenia,2957500,0,3,6,1,2,2,2,2,2
Australia,25673566,122,144,159,157,149,194,195,180,3
Austria,8902600,523,564,636,610,758,704,734,754,3
Azerbaijan,10067108,0,3,2,0,2,6,9,6,2
Bangladesh,168416928,1,0,0,0,1,2,0,0,1
Barbados,287025,0,1,0,0,0,0,0,1,3
Belarus,9408400,4,4,2,3,3,4,3,5,3
Belgium,11524454,211,207,267,229,248,250,264,257,3
Belize,408487,0,0,0,0,0,0,0,1,2
Benin,11733059,0,0,2,0,0,0,0,0,0
Bermuda,64027,1,1,1,1,0,0,0,0,3
Bolivia,11469896,0,0,0,0,0,0,3,1,2
Bosnia And Herzegovina,3301000,1,1,1,2,3,2,1,1,2
Botswana,2338851,0,0,0,0,0,1,0,0,2
Brazil,211372017,60,48,79,68,37,67,69,89,2
Brunei Darussalam,442400,1,0,0,1,2,0,1,1,3
Bulgaria,7000039,20,15,28,16,7,21,23,24,3
Burkina Faso,20870060,0,0,1,0,0,0,1,0,0
Cambodia,15288489,0,0,0,0,0,0,1,0,1
Cameroon,26545864,1,0,1,0,0,1,0,0,1
Canada,37988451,172,190,187,154,217,222,258,278,3
Cape Verde,550483,2,0,0,1,0,0,0,0,1
Chile,19107216,10,6,17,15,32,25,30,51,3
China,1402146320,192,240,237,301,475,750,756,1194,2
Colombia,49395678,4,5,8,10,7,15,14,24,2
Congo,5518092,0,0,0,1,0,1,0,0,0
Costa Rica,5058007,1,0,0,1,0,2,0,2,2
Croatia,4076246,21,21,31,15,34,36,28,32,3
Cyprus,875900,12,13,11,13,13,16,12,14,3
Czech Republic,10693939,155,153,184,181,173,183,210,212,3
CÔte D'ivoire,25823071,0,0,0,0,0,1,0,1,0
Denmark,5822763,153,143,175,138,152,147,144,176,3
Ecuador,17462132,1,0,6,2,2,1,5,2,2
Egypt,100231529,7,6,8,15,10,8,5,14,2
Estonia,1328360,18,17,30,31,23,27,30,40,3
Ethiopia,98665000,1,1,5,1,1,2,0,1,0
Faroe Islands,52124,0,4,3,1,1,3,2,0,3
Fiji,884887,0,0,0,0,0,0,1,0,2
Finland,5527573,109,124,125,115,156,168,178,203,3
France,67076000,966,994,975,968,1028,1080,1097,1151,3
French Guiana,782766,0,0,0,0,1,1,0,2,1
French Polynesia,275918,0,0,1,1,2,1,2,2,2
Gabon,2172579,0,0,0,9,0,0,0,0,2
Gambia,2347706,1,0,0,0,0,0,0,0,0
Georgia,3723464,5,7,6,5,18,4,23,9,2
Germany,83149300,2008,1954,2097,2014,2197,2356,2451,2587,3
Ghana,30280811,0,0,0,1,0,0,0,9,1
Greece,10724599,129,164,165,156,119,147,110,151,3
Greenland,56081,0,0,0,0,0,2,1,0,3
Guadeloupe,395700,0,1,1,0,1,1,0,0,2
Hong Kong,7500700,9,11,8,4,8,22,18,25,3
Hungary,9772756,81,86,91,87,116,156,134,152,3
Iceland,364260,14,17,32,46,32,43,35,49,3
India,1360859080,25,18,33,52,60,82,134,158,1
Indonesia,266911900,2,2,2,4,3,9,8,11,2
Iran,83352889,15,2,0,6,16,19,22,8,2
Iraq,39127900,0,0,2,0,0,0,0,1,1
Ireland,4921500,50,49,56,52,68,70,93,82,3
Israel,9183600,78,65,97,95,100,116,123,110,3
Italy,60238522,778,784,869,808,975,936,1095,1191,3
Jamaica,2726667,0,0,1,0,0,0,4,0,2
Japan,125950000,224,228,170,187,218,224,223,235,3
Jordan,10655188,3,1,2,7,7,8,8,7,2
Kazakhstan,18679400,1,9,6,7,3,4,3,4,3
Kenya,47564296,1,2,2,3,3,5,2,6,1
North Korea,25450000,1,0,0,2,1,0,0,2,1
South Korea,51780579,108,144,186,214,249,309,346,391,3
Kuwait,4420110,0,0,0,2,0,1,0,2,3
Kyrgyzstan,6533500,0,0,0,0,0,0,2,1,1
Latvia,1906800,28,7,12,20,4,3,12,17,3
Lebanon,6825442,0,0,2,1,6,7,7,6,2
Libya,6871287,2,5,4,0,0,0,0,0,2
Lithuania,2793471,8,5,8,8,7,5,3,11,3
Luxembourg,626108,13,10,12,16,12,13,18,19,3
