country,N,emissions [tCO2e],emissions_per_capita [tCO2e]
United States,14222,16110.483686990892,1.13278608402411
China,2266,13600.3593580977,6.001923812046646
Japan,937,4673.239640089267,4.987448922187051
United Kingdom,796,4063.258177739894,5.104595700678259
Germany,594,3257.3339843058884,5.483727246306209
France,585,3207.3164477003047,5.482592218291119
South Korea,548,2987.16915248826,5.451038599431131
India,354,2739.5004375265335,7.738701800922411
Australia,261,1950.3028213485763,7.4724246028681085
Italy,286,1718.2714651217352,6.007942185740333
Taiwan,265,1658.532372213732,6.258612725334838
Switzerland,203,1145.567984330807,5.643192041038458
Brazil,172,1060.4008293930315,6.165121101122276
Canada,734,1027.0900892827049,1.3993052987502792
Spain,130,736.7854848001657,5.667580652308967
Netherlands,135,715.574141727961,5.300549197984896
New Zealand,88,571.2484460588547,6.4914596143051675
Norway,109,522.7885187335148,4.79622494250931
Hong Kong,76,507.5870937169934,6.678777548907808
Singapore,60,489.7871254207288,8.163118757012146
Sweden,87,445.92991992805275,5.1256312635408365
Israel,61,437.8832036862098,7.178413175183767
Denmark,79,416.5732388193782,5.273078972397193
Chile,69,398.0076249187417,5.768226448097706
Belgium,73,391.02937425248774,5.356566770582024
Russia,69,383.61134145536226,5.559584658773366
Nepal,39,285.9345920885822,7.331656207399543
Austria,48,278.21149059177793,5.79607272066204
Finland,50,259.96009634453685,5.199201926890737
Poland,34,192.2470783722066,5.654325834476665
Czech Republic,33,186.48242936488396,5.6509827080267865
Turkey,28,183.0286486981626,6.536737453505808
South Africa,18,181.3861334535262,10.07700741408479
Saudi Arabia,20,156.7097258719533,7.835486293597666
Nigeria,19,143.6827772278209,7.562251433043206
Ireland,28,137.92696619928566,4.925963078545917
United Arab Emirates,15,118.26940989319344,7.884627326212896
Portugal,21,115.17050761679506,5.48430988651405
Colombia,38,114.31790200200557,3.008365842158041
Greece,16,104.5986597595428,6.537416234971425
Mexico,78,101.34762654596503,1.2993285454610901
Bangladesh,12,89.35675727136793,7.446396439280661
Indonesia,10,83.62148988397873,8.362148988397873
Peru,22,83.55714305696088,3.7980519571345854
Argentina,13,78.33667709376223,6.0258982379817105
Thailand,10,76.73224179253869,7.673224179253869
Kenya,8,74.19341870153377,9.274177337691722
Iceland,20,67.88370748429153,3.394185374214577
Philippines,10,67.3813870627853,6.738138706278529
Uganda,7,63.36049549410291,9.051499356300416
Armenia,8,54.08994004120166,6.761242505150207
Pakistan,7,51.14205582409821,7.306007974871172
Georgia,7,46.72618990457208,6.6751699863674405
Morocco,8,46.520673086836815,5.815084135854602
Ethiopia,5,42.749306783737616,8.549861356747524
Sri Lanka,4,34.87638713417635,8.719096783544087
Ecuador,11,34.02529726845026,3.093208842586387
Reunion,3,32.646019793752224,10.882006597917409
Luxembourg,5,27.283970055655047,5.456794011131009
Estonia,5,26.9548310391889,5.39096620783778
Costa Rica,10,24.49043888861664,2.449043888861664
Oman,3,23.83117075002334,7.9437235833411135
Ukraine,4,23.746015573749748,5.936503893437437
Hungary,4,23.531008720904094,5.882752180226023
Qatar,3,23.417578022475617,7.805859340825205
Egypt,3,21.838253983878072,7.279417994626024
Côte D'ivoire,3,21.60571873461707,7.201906244872357
Panama,8,21.549512525979583,2.693689065747448
Niger,3,21.456559931202882,7.152186643734294
Senegal,3,18.528279430627805,6.176093143542602
Slovenia,3,17.61885657836109,5.87295219278703
Benin,2,15.01062122392573,7.505310611962865
Ghana,2,14.845151258461605,7.422575629230803
Iran,2,14.233059800671011,7.116529900335506
Cyprus,2,13.879221997934994,6.939610998967497
Macao,2,13.416975393880374,6.708487696940187
Malta,2,12.882401004861958,6.441200502430979
Uruguay,2,12.651887599209461,6.3259437996047305
Romania,2,12.319345624351321,6.1596728121756605
Tanzania,1,9.635985571564177,9.635985571564177
Guadeloupe,3,9.558078817679094,3.186026272559698
Kuwait,1,7.511806102495854,7.511806102495854
Lebanon,1,7.057901366274844,7.057901366274844
Burkina Faso,1,7.043075981824045,7.043075981824045
Tajikistan,1,6.893986786659385,6.893986786659385
Uzbekistan,1,6.7100189333057605,6.7100189333057605
Algeria,1,6.47047994362823,6.47047994362823
Tunisia,1,6.457489871994733,6.457489871994733
Kazakhstan,1,6.046567407346262,6.046567407346262
Paraguay,1,5.8318323944178925,5.8318323944178925
Puerto Rico,2,5.830206946732182,2.915103473366091
Belarus,1,5.677186958689039,5.677186958689039
Mongolia,1,5.606010799976589,5.606010799976589
Latvia,1,5.437388949723451,5.437388949723451
Haiti,2,5.280104379915342,2.640052189957671
Fiji,1,5.243550636315581,5.243550636315581
French Polynesia,1,3.3707274756082506,3.3707274756082506
Barbados,1,3.370373790684802,3.370373790684802
Greenland,1,2.6974507956148686,2.6974507956148686
Bermuda,1,2.6085317648416275,2.6085317648416275
Jamaica,1,2.465603564697302,2.465603564697302
