country,N,emissions [tCO2e],emissions_per_capita [tCO2e],HDI,,,,,
Algeria,1,6.47047994362823,6.47047994362823,2,0,1,0,0,
Argentina,13,78.3366770937622,6.02589823798171,3,13,0,0,0,
Armenia,8,54.0899400412017,6.76124250515021,2,0,8,0,0,
Australia,261,1950.30282134858,7.47242460286811,3,261,0,0,0,
Austria,48,278.211490591778,5.79607272066204,3,48,0,0,0,
Bangladesh,12,89.3567572713679,7.44639643928066,1,0,0,12,0,
Barbados,1,3.3703737906848,3.3703737906848,3,1,0,0,0,
Belarus,1,5.67718695868904,5.67718695868904,3,1,0,0,0,
Belgium,73,391.029374252488,5.35656677058202,3,73,0,0,0,
Benin,2,15.0106212239257,7.50531061196287,0,0,0,0,2,
Bermuda,1,2.60853176484163,2.60853176484163,3,1,0,0,0,
Brazil,172,1060.40082939303,6.16512110112228,2,0,172,0,0,
Burkina Faso,1,7.04307598182405,7.04307598182405,0,0,0,0,1,
Canada,734,1027.0900892827,1.39930529875028,3,734,0,0,0,
Chile,69,398.007624918742,5.76822644809771,3,69,0,0,0,
China,2266,13600.3593580977,6.00192381204665,2,0,2266,0,0,
Colombia,38,114.317902002006,3.00836584215804,2,0,38,0,0,
Costa Rica,10,24.4904388886166,2.44904388886166,2,0,10,0,0,
Côte D'ivoire,3,21.6057187346171,7.20190624487236,0,0,0,0,3,
Cyprus,2,13.879221997935,6.9396109989675,3,2,0,0,0,
Czech Republic,33,186.482429364884,5.65098270802679,3,33,0,0,0,
Denmark,79,416.573238819378,5.27307897239719,3,79,0,0,0,
Ecuador,11,34.0252972684503,3.09320884258639,2,0,11,0,0,
Egypt,3,21.8382539838781,7.27941799462602,2,0,3,0,0,
Estonia,5,26.9548310391889,5.39096620783778,3,5,0,0,0,
Ethiopia,5,42.7493067837376,8.54986135674752,0,0,0,0,5,
Fiji,1,5.24355063631558,5.24355063631558,2,0,1,0,0,
Finland,50,259.960096344537,5.19920192689074,3,50,0,0,0,
France,585,3207.3164477003,5.48259221829112,3,585,0,0,0,
