N,country,state,city,lat,lon,dist
1,Algeria,,Algiers,28.0000272,2.9999825,10784.133239380384
5,Argentina,,Buenos Aires,-34.6075616,-58.437076,10371.860943417696
1,Argentina,,Córdoba,-32.0967361,-63.7940923,9824.820164972854
1,Argentina,,La Plata,-34.9206797,-57.9537638,10427.795428053105
4,Argentina,,Mendoza,-34.78719615,-68.4380712382687,9763.313749167211
1,Argentina,,Pergamino,-33.8951226,-60.5663735,10177.22669645938
1,Argentina,,Salta,-25.1076701,-64.3494964,9218.72648636106
2,Armenia,,Gyumri,40.77974155,43.8504210942473,11210.28468533988
6,Armenia,,Yerevan,40.16431325,44.5317329719653,11288.22178299828
54,Australia,ACT,Canberra,-35.2975906,149.1012676,12177.484846206793
1,Australia,NSW,Birmingham Gardens,-32.8927778,151.69,11831.081223446563
8,Australia,NSW,Callaghan,-32.8892352,151.6998983,11830.094886247429
1,Australia,NSW,Kensington,-33.9117191,151.2195058,11930.709583517728
1,Australia,NSW,Lismore,-28.79363905,153.26708675123,11446.30619365983
1,Australia,NSW,Mayfield West,-32.890084,151.7262824,11828.109929885013
3,Australia,NSW,Penrith,-33.7510792,150.6941684,11961.200385956072
5,Australia,NSW,Richmond,-33.6009721,150.7496405,11947.672442434607
41,Australia,NSW,Sydney,-33.8548157,151.2164539,11927.423306190483
1,Australia,NSW,Ultimo,-33.8794728,151.1984346,11930.33266144812
5,Australia,NSW,Wollongong,-34.4243941,150.89385,11987.275863297831
1,Australia,NT,Darwin,-12.46044,130.8410469,12321.37138684487
6,Australia,QLD,Brisbane,-27.4689682,153.0234991,11379.575378038851
1,Australia,QLD,Nathan,-27.548375,153.0474942,11382.827892724257
10,Australia,QLD,St Lucia,-27.4987362,153.0081642,11382.739940918347
8,Australia,SA,Adelaide,-34.9281805,138.5999312,12980.756590924942
1,Australia,SA,Bedford Park,-35.0233978,138.5698409,12988.222629829517
16,Australia,TAS,Hobart,-42.8825088,147.3281233,12741.986383825419
1,Australia,TAS,Kingston,-42.9749818,147.308221,12748.403903011425
1,Australia,TAS,Sandy Bay,-42.897129,147.3273528,12742.832069490774
2,Australia,VIC,Aspendale,-38.0219105,145.1024159,12639.975389821053
1,Australia,VIC,Carlton,-37.8004228,144.9684343,12637.891738102788
2,Australia,VIC,Clayton,-37.9173212,145.1304242,12632.039052966582
2,Australia,VIC,Hawthorn,-37.8355533,145.055224565243,12633.225275565033
41,Australia,VIC,Melbourne,-37.8142176,144.9631608,12639.059460370463
27,Australia,VIC,Parkville,-37.7871148,144.9515533,12638.4407741189
2,Australia,WA,Crawley,-31.9786343,115.817227,14746.15959213789
17,Australia,WA,Perth,-31.9527121,115.8604796,14741.260763935812
1,Australia,WA,West Perth,-31.9486588,115.841571,14742.717079867169
14,Austria,,Graz,47.0708678,15.4382786,9730.793957871429
6,Austria,,Innsbruck,47.26951525,11.3971372042211,9543.083640202776
8,Austria,,Laxenburg,48.0686831,16.3561206,9672.946085687916
3,Austria,,Salzburg,47.7981346,13.0464806,9564.752492136133
1,Austria,,Tirol,47.223193,11.5261028,9552.894823979886
16,Austria,,Vienna,48.2083537,16.3725042,9660.342463478437
1,Bangladesh,,Chattogram,22.3307998,91.8412863,12468.417446243744
1,Bangladesh,,Chittagong,22.3307998,91.8412863,12468.417446243744
10,Bangladesh,,Dhaka,23.7593572,90.3788136,12399.109389312574
1,Barbados,,Bridgetown,13.0977832,-59.6184184,6740.747581369603
1,Belarus,,Minsk,53.902334,27.5618791,9461.978264481731
1,Belgium,,Antwerp,51.2211097,4.3997081,8884.76454801164
27,Belgium,,Brussels,50.8465573,4.351697,8914.466345189256
1,Belgium,,Geel,51.1610826,4.9903187,8916.373026816736
9,Belgium,,Gent,51.0538286,3.7250121,8868.387907580462
1,Belgium,,Heverlee,50.85172925,4.69313075102807,8929.475692972632
1,Belgium,,Ixelles,50.8331141,4.3668279,8916.296807722432
10,Belgium,,Leuven,50.879202,4.7011675,8927.492434428701
15,Belgium,,Liege,50.6451381,5.5734203,8986.754964611158
6,Belgium,,Louvain-la-Neuve,50.6682012,4.6128839,8941.512042437755
1,Belgium,,Mol,51.1840421,5.1155267,8919.994076508377
1,Belgium,,Ukkel,50.8035441,4.3338445,8917.316045699366
1,Benin,,Abomey-Calavi,6.4153695,2.30622836336264,12502.345259787317
1,Benin,,Cotonou,6.3676953,2.4252507,12515.356780088901
1,Bermuda,,St.George's,32.3817465,-64.6817359,5217.063529683255
1,Brazil,,Amazonas,-4.479925,-63.5185396,7651.787100795686
6,Brazil,,Asa Norte,-15.7627976,-47.883951,9758.481542335026
2,Brazil,,Bauru,-22.3218102,-49.0705863,10132.627994062399
1,Brazil,,Belem,-1.45056,-48.4682453,8699.724837681937
1,Brazil,,Belo Horizonte,-19.9227318,-43.9450948,10373.364050925336
7,Brazil,,Brasilia,-10.3333333,-53.2,8929.891334091664
1,Brazil,,Cacapava Do Sul,-30.5113286,-53.4916761,10399.563908622944
1,Brazil,,Cachoeira Paulista,-26.7927162,-49.5319984,10418.710019061185
6,Brazil,,Campinas,-22.90556,-47.06083,10332.313444342517
1,Brazil,,Campo Grande MS,-20.4640173,-54.6162947,9565.723514127929
1,Brazil,,Centro,-22.9043934,-43.1830653,10641.157211208616
5,Brazil,,Curitiba,-25.4295963,-49.2712724,10340.503592892286
1,Brazil,,Florianópolis,-27.5973002,-48.5496098,10550.606764538357
1,Brazil,,Fortaleza,-3.7304512,-38.5217989,9723.71913485757
1,Brazil,,João Pessoa,-7.1215981,-34.882028,10272.16456001643
1,Brazil,,Viçosa,-20.7455607,-42.9179701,10514.022048481766
1,Brazil,,Manaus,-3.1316333,-59.9825041,7840.851897023523
1,Brazil,,Minas Gerais,-18.5264844,-44.1588654,10258.829254062617
3,Brazil,,Natal,-5.805398,-35.2080905,10154.861575124407
9,Brazil,,Niteroi,-22.8832371,-43.1154552,10645.139644153138
4,Brazil,,Ouro Preto,-20.3851692,-43.5036344,10441.401767391051
1,Brazil,,Paulinia,-22.7630391,-47.1532213,10314.929668830735
3,Brazil,,Piracicaba,-22.72528,-47.64917,10273.146091502795
8,Brazil,,Porto Alegre,-30.0324999,-51.2303767,10527.181279718436
2,Brazil,,Presidente Prudente,-22.1225167,-51.3882528,9937.582630810788
2,Brazil,RN,Natal,-5.805398,-35.2080905,10154.861575124407
1,Brazil,RS,Santa Maria,-29.6860512,-53.8069214,10315.635633194095
13,Brazil,,Rio De Janeiro,-22.9110137,-43.2093727,10639.497572272088
1,Brazil,SP,Sorocaba,-23.501667,-47.458056,10343.317295414292
2,Brazil,,Santa Maria,-29.6860512,-53.8069214,10315.635633194095
1,Brazil,,Santarem,-2.438489,-54.699611,8234.238886286514
1,Brazil,,Santos,-23.960833,-46.333889,10464.03074336815
29,Brazil,,Sao Jose dos Campos,-23.1805011,-45.8872969,10444.473090494588
2,Brazil,,Sao Leopoldo,-29.7544405,-51.1516497,10512.678644682364
15,Brazil,,Sao Paulo,-23.5506507,-46.6333824,10411.580140021744
1,Brazil,,São Carlos,-22.0183367,-47.890932,10203.750233305973
8,Brazil,,São Leopoldo,-29.7544405,-51.1516497,10512.678644682364
23,Brazil,,São Paulo,-23.5506507,-46.6333824,10411.580140021744
3,Brazil,,Vicosa,-20.7538586,-42.8815888,10517.560130290096
1,Brazil,,Vitoria,-20.3200917,-40.3376682,10696.715176362193
1,Burkina Faso,,Ouagadougou,12.368148,-1.527085,11738.459969706744
1,Canada,AB,Athabasca,54.7740629,-112.9256435,2037.1439290870169
61,Canada,AB,Calgary,51.02532675,-114.049868485806,1628.4383413746643
59,Canada,AB,Edmonton,53.535411,-113.507996,1895.949919195492
12,Canada,AB,Lethbridge,49.694285,-112.851562,1543.1698582228928
2,Canada,,Antigonish,45.7035589,-61.8626826,4997.8737586630705
1,Canada,BC,British Columbia,53.068471,-121.515303925465,1717.963637235892
14,Canada,BC,Burnaby,49.2433804,-122.9725459,1291.9693145708432
1,Canada,BC,Kamloops,50.6758269,-120.3394159,1459.472644679666
4,Canada,BC,Kelowna,49.889326,-119.498291,1382.3334243699933
4,Canada,BC,Prince George,53.9128645,-122.7453699,1810.8365523721843
1,Canada,BC,Revelstoke,50.998045,-118.1956709,1522.7275678572573
6,Canada,BC,Sidney,48.6505788,-123.3983246,1227.92149444162
72,Canada,BC,Vancouver,49.2608724,-123.1139529,1294.3791001360441
44,Canada,BC,Victoria,48.4283182,-123.3649533,1203.092063178147
1,Canada,,Burlington,43.3248924,-79.7966835,3626.287293526505
1,Canada,,Canmore,51.0866897,-115.3481135,1596.018195610378
1,Canada,MB,Brandon,49.8511143,-99.9608924,2245.5666113101643
9,Canada,MB,Winnipeg,49.884017,-97.168579,2426.702470331814
10,Canada,NB,Fredericton,45.966425,-66.645813,4627.261695054258
1,Canada,NL,Corner Brook,48.95317,-57.947388,5214.3629107080205
5,Canada,NL,St John's,47.561701,-52.715149,5628.232281589849
2,Canada,NS,Antigonish,45.7035589,-61.8626826,4997.8737586630705
1,Canada,NS,Dartmouth,44.6799707,-63.5720232,4890.451518561326
21,Canada,NS,Halifax,44.8543667,-63.137798,4919.95562690461
2,Canada,NT,Yellowknife,62.4709394,-114.4384901,2816.937097808389
4,Canada,ON,Edmonton,43.6688109,-79.3736894028481,3657.3330644860457
16,Canada,ON,Guelph,43.533783,-80.2306337,3589.460266881302
11,Canada,ON,Hamilton,43.2425289,-79.9470423,3614.8828780101253
1,Canada,ON,Harriston,43.9118312,-80.8690127,3535.4546131273996
6,Canada,ON,Kanata,45.3122012,-75.9051548,3918.792704632651
13,Canada,ON,Kingston,44.3054151,-76.4283781,3886.7703796992855
15,Canada,ON,London,42.9537654,-81.2291529,3513.4275954766435
1,Canada,ON,Markham,43.854336,-79.326782,3659.5466837329614
6,Canada,ON,Mississauga,43.590338,-79.645729,3636.1171576643133
1,Canada,ON,North Bay,46.3092115,-79.4607617,3638.3017705452276
1,Canada,ON,North York,43.7708175,-79.4132998,3653.289033799132
35,Canada,ON,Ottawa,45.421106,-75.690308,3934.698713826527
2,Canada,ON,Peterborough,44.3048009,-78.3199496,3736.3518024329123
1,Canada,ON,Sault Ste Marie,46.52391,-84.320068,3265.6588768098786
1,Canada,ON,St Catharines,43.167376,-79.241638,3672.7219504045024
2,Canada,ON,Sudbury,46.49272,-80.991211,3520.756613274923
2,Canada,ON,Thornhill,43.8161477,-79.4245925,3652.0111693315134
89,Canada,ON,Toronto,43.653963,-79.387207,3656.374207399932
49,Canada,ON,Waterloo,43.466874,-80.524635,3566.2757988391004
8,Canada,ON,Windsor,42.30423,-83.029861,3371.807005767146
1,Canada,QC,Chicoutimi,48.3370248,-71.1235261355927,4261.129555193461
2,Canada,QC,Dorval,45.4453082,-73.7510888,4085.69284419575
62,Canada,QC,Montreal,45.4972159,-73.6103642,4096.109192740342
14,Canada,QC,Quebec City,46.8259601,-71.2352226,4265.231234779236
3,Canada,QC,Rimouski,48.450155,-68.529968,4451.767592383115
1,Canada,QC,Rouyn-Noranda,48.2420524,-79.0205378,3675.4871228883285
1,Canada,QC,Saint-Hubert,45.5042755,-73.4216976,4110.714317653386
4,Canada,QC,Sherbrooke,45.403271,-71.889038,4231.116195267822
11,Canada,SK,Regina,50.44876,-104.61731,2004.7641090212544
34,Canada,SK,Saskatoon,52.131802,-106.660767,2026.2287012920408
1,Canada,YT,Whitehorse,60.721571,-135.054932,2718.8385074966027
6,Chile,,Concepcion,-36.8270776,-73.0502683,9680.294716021699
1,Chile,,Copiapó,-27.3664897,-70.3322733,9014.436516333199
1,Chile,,Metropolitana,-33.8201151,-70.7404378,9546.017257127676
3,Chile,,Punta Arenas,-53.1625446,-70.907785,11214.54043976566
